City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Moerai,PF,-22.4333,-151.3333,77.25,74.0,100.0,15.68,light rain
Riyadh,SA,24.6877,46.7219,41.14,48.0,0.0,15.37,clear sky
Mackay,AU,-21.15,149.2,80.69,77.0,71.0,20.58,broken clouds
Rio Gallegos,AR,-51.6226,-69.2181,60.85,63.0,40.0,27.63,scattered clouds
Alofi,NU,-19.0595,-169.9187,84.09,70.0,75.0,17.27,broken clouds
Araouane,ML,18.9048,-3.5265,60.6,22.0,12.0,9.48,few clouds
Mahebourg,MU,-20.4081,57.7,81.25,94.0,75.0,12.66,broken clouds
Mugumu,TZ,-1.85,34.7,59.61,94.0,100.0,2.66,light rain
Biak,ID,-0.9131,122.8766,82.33,71.0,78.0,0.96,broken clouds
Hami,CN,42.8,93.45,27.63,42.0,100.0,4.34,overcast clouds
Vicuna,CL,-30.0319,-70.7081,53.33,43.0,0.0,0.81,clear sky
Mareeba,AU,-17.0,145.4333,82.49,78.0,100.0,8.12,overcast clouds
Yumen,CN,40.2833,97.2,21.24,47.0,1.0,0.85,clear sky
Rawson,AR,-43.3002,-65.1023,61.09,94.0,75.0,2.3,broken clouds
Walvis Bay,NA,-22.9575,14.5053,70.09,88.0,100.0,2.3,overcast clouds
Dongying,CN,37.4564,118.4856,29.68,56.0,17.0,5.99,few clouds
The Valley,AI,18.217,-63.0578,78.66,71.0,0.0,23.73,clear sky
Islamkot,PK,24.6997,70.177,66.87,88.0,0.0,7.58,clear sky
Markova,UA,48.6758,24.4138,22.23,71.0,20.0,14.09,few clouds
Thompson,CA,55.7435,-97.8558,-3.84,71.0,100.0,9.22,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,87.0,0.0,7.0,clear sky
Tsaratanana,MG,-16.7833,47.65,72.07,97.0,100.0,1.41,moderate rain
Jackson,US,42.4165,-122.8345,51.8,82.0,20.0,0.0,few clouds
Pedasi,PA,7.5333,-80.0333,75.07,75.0,7.0,21.54,clear sky
Necochea,AR,-38.5473,-58.7368,71.04,89.0,97.0,19.01,overcast clouds
Bilecik,TR,40.0,30.1667,21.88,80.0,26.0,10.74,scattered clouds
Bandrele,YT,-12.9067,45.1914,78.55,83.0,75.0,11.5,light rain
Kaeo,NZ,-35.1,173.7833,79.32,43.0,33.0,5.1,scattered clouds
Fortuna,US,40.5982,-124.1573,52.32,94.0,100.0,1.01,overcast clouds
Millinocket,US,45.6573,-68.7098,5.11,66.0,0.0,11.5,clear sky
Berezovyy,RU,51.6667,135.7,3.4,79.0,6.0,2.13,clear sky
Owase,JP,34.0667,136.2,41.2,51.0,97.0,8.99,overcast clouds
Katherine,AU,-14.4667,132.2667,91.72,55.0,40.0,3.44,scattered clouds
Pinhao,BR,-25.6956,-51.6597,64.58,87.0,16.0,1.81,few clouds
Yar-Sale,RU,66.8333,70.8333,12.7,89.0,99.0,21.52,overcast clouds
Beringovskiy,RU,63.05,179.3167,-13.23,78.0,6.0,13.44,clear sky
Touros,BR,-5.1989,-35.4608,81.5,73.0,62.0,8.9,broken clouds
Peniche,PT,39.3558,-9.3811,50.45,64.0,0.0,5.35,clear sky
Chuy,UY,-33.6971,-53.4616,74.7,95.0,38.0,10.33,scattered clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,84.0,7.0,14.92,clear sky
Salinopolis,BR,-0.6136,-47.3561,78.94,85.0,9.0,10.02,clear sky
Kaitangata,NZ,-46.2817,169.8464,64.92,66.0,94.0,10.76,overcast clouds
Roald,NO,62.5833,6.1333,37.45,93.0,100.0,10.36,light rain
Gornopravdinsk,RU,60.05,69.9,14.02,93.0,100.0,8.52,overcast clouds
Anadyr,RU,64.75,177.4833,-34.01,65.0,20.0,4.47,few clouds
San Vicente,AR,-26.6167,-54.1333,73.31,65.0,2.0,2.55,clear sky
Faanui,PF,-16.4833,-151.75,81.59,74.0,100.0,18.79,overcast clouds
Merida,MX,20.9667,-89.6167,76.01,69.0,20.0,4.61,few clouds
Deputatskiy,RU,69.3,139.9,-19.88,76.0,46.0,6.13,scattered clouds
Isangel,VU,-19.55,169.2667,84.31,84.0,100.0,2.3,light rain
Nikolskoye,RU,59.7035,30.7861,30.09,97.0,92.0,3.87,light snow
Broken Hill,AU,-31.95,141.4333,85.71,35.0,99.0,18.41,overcast clouds
Chokurdakh,RU,70.6333,147.9167,-38.36,98.0,82.0,5.7,broken clouds
Qasigiannguit,GL,68.8193,-51.1922,17.85,83.0,100.0,19.3,overcast clouds
Brae,GB,60.3964,-1.353,46.31,93.0,100.0,21.05,overcast clouds
Ornskoldsvik,SE,63.2909,18.7153,28.22,63.0,0.0,16.11,clear sky
Ouango,CF,4.3133,22.5552,70.02,39.0,99.0,4.72,overcast clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,94.0,100.0,3.44,overcast clouds
Maragogi,BR,-9.0122,-35.2225,78.49,81.0,16.0,6.35,few clouds
Drayton Valley,CA,53.2168,-114.9854,39.9,59.0,37.0,18.59,scattered clouds
Boueni,YT,-12.9025,45.0761,78.78,76.0,99.0,14.97,light rain
Port Shepstone,ZA,-30.7414,30.455,71.2,87.0,5.0,13.65,clear sky
Nebbi,UG,2.4783,31.0889,67.21,40.0,94.0,5.66,overcast clouds
Rapar,IN,23.5667,70.6333,66.79,92.0,0.0,8.16,clear sky
Kamyshlov,RU,56.8428,62.7111,4.32,95.0,29.0,7.07,scattered clouds
Narsaq,GL,60.9167,-46.05,25.02,88.0,100.0,16.58,overcast clouds
Tigzirt,DZ,36.8886,4.1198,48.52,81.0,67.0,6.31,broken clouds
Nanortalik,GL,60.1432,-45.2371,25.84,70.0,100.0,22.53,light snow
Hambantota,LK,6.1241,81.1185,71.94,100.0,20.0,3.44,few clouds
Voh,NC,-20.9667,164.7,84.33,74.0,100.0,7.76,overcast clouds
Mountain Home,US,43.133,-115.6912,32.74,100.0,100.0,8.05,overcast clouds
Smithers,CA,54.7804,-127.1743,26.92,86.0,40.0,5.75,scattered clouds
Itarema,BR,-2.9248,-39.9167,76.87,87.0,36.0,8.95,scattered clouds
Vanavara,RU,60.34,102.2797,-2.63,100.0,94.0,3.67,overcast clouds
Mbuyapey,PY,-26.2,-56.75,84.51,41.0,22.0,4.94,few clouds
Hofn,IS,64.2539,-15.2082,42.94,87.0,100.0,15.28,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,69.89,95.0,45.0,7.81,scattered clouds
Guerrero Negro,MX,27.9769,-114.0611,67.95,36.0,0.0,18.25,clear sky
Luderitz,NA,-26.6481,15.1594,67.84,84.0,31.0,8.3,scattered clouds
Teahupoo,PF,-17.8333,-149.2667,78.76,80.0,100.0,22.1,light rain
Saint George,US,37.1041,-113.5841,52.36,39.0,0.0,1.99,clear sky
Rancho Palos Verdes,US,33.7445,-118.387,69.37,57.0,0.0,1.99,clear sky
Ambilobe,MG,-13.2,49.05,73.11,97.0,97.0,2.15,light rain
Hamilton,US,39.1834,-84.5333,23.4,59.0,100.0,3.0,snow
Qaqortoq,GL,60.7167,-46.0333,25.3,87.0,100.0,18.48,overcast clouds
Makhachkala,RU,42.9764,47.5024,21.18,78.0,10.0,5.37,clear sky
Adrar,MR,20.5022,-10.0711,63.68,17.0,69.0,12.3,broken clouds
Asmara,ER,15.3333,38.9333,48.13,85.0,64.0,4.14,broken clouds
Sayyan,YE,15.1718,44.3244,50.88,41.0,0.0,3.31,clear sky
Whitianga,NZ,-36.8333,175.7,74.71,40.0,2.0,9.51,clear sky
Laguna,US,38.421,-121.4238,59.5,79.0,0.0,0.0,clear sky
Tjome,NO,59.1109,10.3933,32.7,51.0,97.0,9.22,overcast clouds
Konya,TR,38.1667,32.5,8.08,70.0,1.0,4.05,clear sky
Santa Cruz Del Norte,CU,23.1539,-81.9236,74.14,80.0,4.0,1.9,clear sky
Rio Grande,BR,-32.035,-52.0986,78.94,94.0,20.0,13.62,few clouds
Saldanha,ZA,-33.0117,17.9442,59.05,86.0,0.0,12.84,clear sky
Mathathane,BW,-22.2687,28.7495,68.94,67.0,0.0,10.89,clear sky
Kedrovyy,RU,56.1667,91.8167,3.87,98.0,100.0,1.52,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,29.62,80.0,0.0,6.91,clear sky
Coquimbo,CL,-29.9533,-71.3436,60.53,77.0,0.0,5.75,clear sky
Ellsworth,US,44.5434,-68.4195,15.53,68.0,0.0,1.01,clear sky
Osakarovka,KZ,50.565,72.5692,0.41,83.0,93.0,8.5,overcast clouds
Ngunguru,NZ,-35.6167,174.5,79.16,49.0,37.0,7.65,scattered clouds
Makakilo City,US,21.3469,-158.0858,79.12,66.0,0.0,8.05,clear sky
Nouadhibou,MR,20.931,-17.0347,64.38,94.0,100.0,8.05,overcast clouds
Shakawe,BW,-18.3667,21.85,66.56,87.0,91.0,3.24,overcast clouds
Sahuaripa,MX,29.05,-109.2333,60.67,43.0,3.0,6.51,clear sky
Salalah,OM,17.0151,54.0924,71.69,88.0,0.0,1.14,clear sky
Shagonar,RU,51.5333,92.8,9.03,96.0,100.0,0.78,overcast clouds
Namibe,AO,-15.1961,12.1522,69.06,84.0,99.0,5.46,overcast clouds
Viisoara,RO,46.55,23.9167,24.58,88.0,23.0,4.29,few clouds
Khokhlovo,RU,59.1492,37.3998,27.68,96.0,100.0,9.26,light snow
Garden City,US,42.3256,-83.331,19.22,63.0,100.0,6.91,overcast clouds
Khromtau,KZ,50.2503,58.4347,-2.11,98.0,100.0,3.85,overcast clouds
Shumskiy,RU,54.8318,99.1328,1.72,98.0,99.0,1.7,overcast clouds
Saint-Gabriel,CA,46.3001,-73.3824,-9.17,87.0,13.0,5.21,few clouds
Burnie,AU,-41.0667,145.9167,70.95,59.0,3.0,7.23,clear sky
Niceville,US,30.5169,-86.4822,46.45,91.0,100.0,14.0,overcast clouds
Grindavik,IS,63.8424,-22.4338,46.35,93.0,100.0,33.38,light intensity drizzle
San Patricio,US,28.017,-97.5169,39.29,52.0,100.0,16.22,light rain
Oranjestad,AW,12.524,-70.027,80.55,78.0,40.0,18.41,scattered clouds
Le Moule,GP,16.3332,-61.3473,75.24,100.0,1.0,5.99,clear sky
Eureka,US,40.8021,-124.1637,52.57,87.0,85.0,8.99,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,81.21,94.0,75.0,12.66,light rain
Mala Danylivka,UA,50.0635,36.1656,27.01,100.0,75.0,11.18,shower snow
Port Pirie,AU,-33.1833,138.0167,87.89,39.0,98.0,17.94,overcast clouds
Huangnihe,CN,43.5583,128.0239,3.06,72.0,14.0,2.19,few clouds
Ustupo,PA,9.1333,-77.9333,79.14,87.0,69.0,8.46,broken clouds
Genhe,CN,50.7833,121.5167,0.37,77.0,91.0,0.36,overcast clouds
Laerdalsoyri,NO,61.098,7.4816,15.17,98.0,99.0,2.86,overcast clouds
Calvinia,ZA,-31.4707,19.776,73.96,22.0,10.0,3.44,clear sky
Tuatapere,NZ,-46.1333,167.6833,58.82,67.0,55.0,10.51,broken clouds
Sitka,US,57.0531,-135.33,39.09,93.0,100.0,8.05,mist
Buala,SB,-8.145,159.5921,80.08,87.0,100.0,9.73,moderate rain
Bengkulu,ID,-3.8004,102.2655,77.7,82.0,100.0,2.44,overcast clouds
Marshalltown,US,42.0494,-92.908,-3.01,71.0,0.0,0.0,clear sky
Khor,RU,47.8861,134.9464,-5.57,92.0,72.0,5.64,broken clouds
Port Blair,IN,11.6667,92.75,77.04,88.0,75.0,0.0,mist
Yaan,NG,7.3833,8.5667,73.76,22.0,56.0,8.48,broken clouds
Ancud,CL,-41.8697,-73.8203,54.23,91.0,17.0,8.72,light rain
Imeni Poliny Osipenko,RU,52.4201,136.4853,-7.38,93.0,98.0,6.38,overcast clouds
Oborniki,PL,52.6474,16.8141,29.48,73.0,8.0,14.9,clear sky
Pangnirtung,CA,66.1451,-65.7125,-30.3,99.0,98.0,3.8,overcast clouds
Kudahuvadhoo,MV,2.6708,72.8944,80.73,71.0,86.0,10.67,overcast clouds
Muhos,FI,64.808,25.9931,22.78,80.0,13.0,11.05,few clouds
Lagoa,PT,39.05,-27.9833,60.87,87.0,100.0,19.77,overcast clouds
Bara,NG,10.3744,10.7288,57.38,31.0,77.0,7.31,broken clouds
Panguna,PG,-6.3164,155.4848,74.52,87.0,100.0,1.63,moderate rain
Tucuman,AR,-26.8241,-65.2226,69.8,94.0,20.0,4.61,few clouds
Kysyl-Syr,RU,63.8986,122.7617,-2.7,99.0,100.0,2.8,overcast clouds
Bizhbulyak,RU,53.6967,54.2642,-2.69,100.0,89.0,2.91,overcast clouds
Abu Samrah,SY,35.3029,37.1841,38.89,66.0,98.0,8.34,overcast clouds
Lae,PG,-6.7221,146.9847,84.87,70.0,90.0,8.75,light rain
Bitung,ID,1.4451,125.1824,79.65,79.0,99.0,8.97,light rain
Gobabis,NA,-22.45,18.9667,71.1,58.0,81.0,4.12,broken clouds
Sassandra,CI,4.95,-6.0833,73.15,72.0,91.0,4.0,overcast clouds
Vardo,NO,70.3705,31.1107,29.75,68.0,98.0,29.73,overcast clouds
